data_execucao,nome_automacao,cliente,status,tipo_erro,duracao_segundos,impacto_horas
2026-01-01 06:38:20,conciliacao_bancaria,Construtora Horizonte,falha,timeout_conexao,49,0.91
2026-01-01 08:37:27,relatorio_mensal_clientes,Construtora Horizonte,sucesso,,22,0.0
2026-01-01 08:54:14,importacao_nf_fiscal,Logística Express,sucesso,,31,0.0
2026-01-01 09:01:47,geracao_proposta_comercial,Distribuidora Sul,sucesso,,14,0.0
2026-01-01 09:55:40,geracao_proposta_comercial,Varejo Online SA,sucesso,,20,0.0
2026-01-01 10:08:42,conciliacao_bancaria,Indústria Metalplas,falha,servidor_indisponivel,70,1.41
2026-01-01 10:15:47,atualizacao_cadastro_clientes,Indústria Metalplas,sucesso,,45,0.0
2026-01-01 10:23:48,envio_email_cobranca,Indústria Metalplas,sucesso,,41,0.0
2026-01-01 11:23:22,sincronizacao_crm,Clínica Bem Estar,sucesso,,12,0.0
2026-01-01 11:34:46,sincronizacao_crm,Distribuidora Sul,sucesso,,25,0.0
2026-01-01 11:44:27,exportacao_dados_erp,Farmácia Saúde Total,falha,timeout_conexao,100,0.53
2026-01-01 12:41:31,monitoramento_sla,Clínica Bem Estar,sucesso,,24,0.0
2026-01-01 12:45:04,relatorio_mensal_clientes,Clínica Bem Estar,sucesso,,26,0.0
2026-01-01 12:59:34,sincronizacao_crm,Clínica Bem Estar,sucesso,,31,0.0
2026-01-01 13:43:20,relatorio_mensal_clientes,Distribuidora Sul,sucesso,,28,0.0
2026-01-01 13:56:36,importacao_nf_fiscal,Construtora Horizonte,sucesso,,12,0.0
2026-01-01 14:49:41,exportacao_dados_erp,Construtora Horizonte,sucesso,,18,0.0
2026-01-01 18:06:22,exportacao_dados_erp,Indústria Metalplas,sucesso,,10,0.0
2026-01-01 18:17:04,sincronizacao_crm,Indústria Metalplas,sucesso,,28,0.0
2026-01-01 19:14:28,envio_relatorio_gerencial,Farmácia Saúde Total,sucesso,,8,0.0
2026-01-01 19:38:04,monitoramento_sla,Logística Express,sucesso,,37,0.0
2026-01-01 19:57:37,monitoramento_sla,Farmácia Saúde Total,sucesso,,16,0.0
2026-01-01 20:00:46,geracao_proposta_comercial,Indústria Metalplas,sucesso,,40,0.0
2026-01-01 20:34:07,monitoramento_sla,Construtora Horizonte,sucesso,,31,0.0
2026-01-01 20:57:33,conciliacao_bancaria,Construtora Horizonte,falha,timeout_conexao,11,0.31
2026-01-01 22:16:35,relatorio_mensal_clientes,Clínica Bem Estar,sucesso,,42,0.0
2026-01-01 22:31:05,relatorio_mensal_clientes,Varejo Online SA,sucesso,,18,0.0
2026-01-01 22:38:01,atualizacao_cadastro_clientes,Distribuidora Sul,sucesso,,42,0.0
2026-01-02 07:00:21,envio_email_cobranca,Clínica Bem Estar,sucesso,,18,0.0
2026-01-02 08:26:42,envio_relatorio_gerencial,Indústria Metalplas,sucesso,,24,0.0
2026-01-02 08:56:15,exportacao_dados_erp,Farmácia Saúde Total,falha,credencial_expirada,109,2.18
